,CIVIL,TARs
81,20181128,"2MASS J04332621+2245293, 2MASS J04161726+2817128, 2MASS J04222404+2646258, UCAC4 499-029573, 2MASS J04161210+2756385, HR 9019, HR 1237, HR 1026, G  68-5, Cl* Trumpler 5 PCA 799, HR 1137, BD+81     4, HR 1234, V* V827 Tau, 18 Ori, HR 8358, HR 2584, L 1551-51, UCAC4 590-012183, 2MASS J04355881+2438404, [HJS91] 507, V* V1283 Tau, k Tau, HD 213013A, HR 1578, HD 53205, 2MASS J04372171+2651014, BD+78    22"
82,20171116,"V* GH Tau, 7 Tri, V* V827 Tau, V* GK Tau, HD 31004, * k Tau, V* DK Tau, HD  25175, [MGM2012] 574, L 1551-51"
83,20200212,"HD 131625, HD 113694, * eta01 Dor, V* DX Cha, HD  85567, 2MASS J15063505-3639297, 2MASS J15385679-5742190, HD  71722, [PGZ2001] J160357.9-194210, HD 145127"
84,20150927,"2MASS J04130560+1514520, 2MASS J0019262+4614078, *  18 Sco, HD   1561, XEST 17-059-A, 2MASS J00452143+1634446, HD  25175, * k Tau, FU Tau A"
85,20151222,"HD  72236, 2MASS J01225093-2439505, V* IQ Tau, HD  73080, HD 110184, *  85 Gem, 33 LMi, HD  93487, HD  99966, *  29 Com, * k Tau, HD  95735, HD 102328, * b Vir, *  48 Cet, V* BP Tau"
86,20161210,"*   7 Tri, HD   1561, LP 298-53, *  54 Psc, LP 353-51, V* V383 Lac"
87,20170807,"2MASS J16020039-2221237, HD 145127"
88,20180118,"[MGM2012] 644, HD  31069, [MGM2012] 734, HD 37887, V* GM Aur"
89,20170216,"BD+02  1729, V* V1309 Tau, HD  26736, HD  29526, V* AB Aur, V* BW Ari, HD  19600"
90,20171102,"2MASS J19084247+4131592, HD 180681, KOI-6893"
91,20180525,"HD  95534, HD 112305, [KRL2007b] 194, HD 192510, NAME AX J163904-4642, [GY92] 21, LP  853-11, UCAC4 190-077361, HD 145127, 2MASS J16233283-2258468, HD 159312, SIPS J1753-6559, kappa, CD-34  8577, LP  617-21, Wolf  414, HD 154025, YLW  1C, HD 109840"
92,20170710,"* rho Oph C, 2MASS J16171898-2437186, HD 141091, HD 142883, BKLT J162833-244754, HD 155379, * gam Aqr, 2MASS J19012931-0035504, RIK 12, RIK 28, HD 171872, HD 145188, RIK 229, TRAPPIST-1, HD 219833, HD 144548, V* V2394 Oph, HD 165029"
93,20160325,"HBC 254B, Cl* NGC 2682 SAND 1084, BD+44  2051B, [GY92] 304, HD 155379, HD 131951, Cl* NGC 2682 SAND 1074, V* BK CVn, HD  99966, * f01 Ori, HD  89239, * eta Hya, HD 133772, 2MASS J11034245+3631473"
94,20150223,"HD 140775, HD  12468, HD  71906, * eta Cnc, HD  31069, NSVS   7446320, NSVS  10653195, Q2 Lovejoy, V* BS UMa, HD  99966, 2MASS J08255189+2427045, LSPM J0440+3126"
95,20151204,"HD 219485, * mu. UMa, HD 212643, *  74 Psc B, HD 216868, HD  32147, * lam Cnc, G  51-15, HD  71906, * iot Lep, HD  95735, HD 213135, HD   6533, HD  99966, UCAC4 542-006698, HD  25175, HD  53205, HD  33224, * 116 Tau"
96,20190314,"HD  25152, V* AA Tau, V* CI Tau, V* V830 Tau, * k Tau, L 1551-51"
97,20190212,"BD+02  1729, EM* LkCa   15, V* IQ Tau, BD+22  2716, V* V830 Tau, V* V827 Tau, V* V1069 Tau, V* AA Tau, V* CI Tau, V* DK Tau, HD  25175, L 1551-51, HD  53205"
98,20210103,"HD 107947, V* V1249 Cen, TOI-1227, HD 102458, PM J04572-0621, HD 106922, TWA 23, HD  30962"
99,20201120,HD 182110
100,20141204,"*  61 Cyg A, HD  69589, *   7 Tri, *  61 Cyg B, V* GU Psc, V* IQ Tau, * tet Lep, * p05 Leo, V* AB Aur, HD  21038, V* GQ And, HD  25152, HD 219290, V* CI Tau, Wolf  358, 	[MDM2001] CFHT-BD-Tau 21, HD 205314, V* DG Tau, V* BP Tau"
101,20180629,"HD  95534, [CND2009] S11, IRAS 16285-2355, [CND2009] S9, PMMR  70, [CND2009] S6, HD 165029, * q Her, HD 155379, [CND2009] S15, [CND2009] S10, [CND2009] S14, HD 172882, [CND2009] S8, HD 180782, BD+18  3421, BBB SMC 206, HD 145127, 2MASS J16255790-2600374, [CND2009] S1"
102,20201108,"HD  23144, WOH S 146, 2MASS J03303852+0028156, HD  38004, 2MASS J05194055-6538312, HD  76567, [MCO2008] NGC1978-42, [MCO2008] NGC1978-38, HD  40624"
103,20190316,"V* GI Tau, BD+02  1729, EM* LkCa   15, V* IQ Tau, V* V830 Tau, V* V827 Tau, V* V1069 Tau, V* GM Tau, HR 2584, * k Tau, V* DK Tau, V* CI Tau, L 1551-51"
104,20170222,"TVLM 513-46, europa, q Vir, 3C 273, LSR J1835+3259 , HR 6744, HD 127304, HR 2584, 2MASS J06411678+0927301, 2MASS J06403665+0952032, b Vir"
105,20201214,"TVLM 831-154910, HD  16152"
106,20160520,"RIK 100, EPIC 211970147, DoAr 42C, HD  71906, DoAr 24, GSS 35, HD 112304, HD 145127, RIK 28, RIK 12, HD 145188, 2MASS J13153181-1627219, HD 144548, HD  79108, EPIC 211913977, [PBB2002] USco J160121.5-223726"
107,20170126,"HD 284149, HD  33541, G 250-25"
108,20150331,"RX J1609.5-2105, HD  71906, BD+20  2465, G  51-15, * p05 Leo, GJ 1154 A, HD 145188, HD  89239, NTTS 155808-2219"
109,20161030,"IRAS 05383-0228, HD  31743, HD  23258, 2MASS J03140344+1603056, *   7 Tri, HD  34227, *  67 Aqr, HD  38368, IRAS 05339-0646, 2MASS J05471062+0021149, V* DL Ori, LSPM J0036+1821, HD  37887, 2MASS J00452143+1634446, HD  34317, JW  703, IRAS 05405-0117, V* V1296 Ori, [MB91] 31"
110,20171214,"V* V410 Tau, BD+02  1729, HD  26257, V* V1309 Tau, HD  26736, V* V830 Tau, V* V827 Tau, V* V1023 Tau, HD  21379, * 24 Tau, HD  25152, V* BW Ari, V* CI Tau, V* DK Tau, HD  19600, * k Tau, HD 65158, HD  23584, L 1551-51"
111,20210115,"V* GU Psc, HD  91398, HIP 51297, HD  59110, HD  28667, TIC 78450017, HD  51986, HD  52362, HD  48189, HD 269698"
112,20150502,"HD 136442, *  72 Leo, * mu. Ser, BD+20  2465, HD  35036, HD 131951, V* RX Boo, HD  96951, HD 189690, HD 189733, V* V582 Aur"
113,20180123,"BD+02  1729, [HJS91] 4872, HR 1234, HD 53205, * k Tau, V* BP Tau"
114,20150923,"EM* LkHA  120, DH Tau A, V* V1283 Tau, V* V830 Tau, V* HL Tau, HD  25175, * k Tau, K2-25, HD 205314, V* DS Tau"
115,20180922,"V* GI Tau, BD+02  1729, HD 150437, L 1551-51, BD-05  5432, Europa, HD  31069, V* GM Tau, V* AA Tau, HD 31743, 3C 321, HD 145127, V* DM Tau"
116,20151124,"* alf Peg, HD 204827, BD+63  1964, * gam Aqr, * k Tau, * omi Per"
117,20160228,"HD 105388, HD  71906, Ross  905"
118,20151019,"HD   9716, *   7 Tri, HD 195198, HD 189690, 2MASS J20304235+0749358"
119,20171206,"2MASS J19051360+4342174, 2MASS J06400373+0133038, k Tau, 85 Gem, HR 3651, 2MASS J19464551+4635020, tet Lep, G  51-15, LP  358-685, HR 1234, RX J0507.2+2437, HD  76037B, IRAS F04385+2550, HD 184787, HD 213013A, HR 8422"
120,20180626,"HD  95534, HD  15646, HD 171149, [GY92] 154, HD 155379, PMMR   9, VSSG 30, WLY 2-67, HD 145127, 2MASS J16255790-2600374, 2MASS J18294508+0118469"
